time,temp
43505.63206,22.89
43505.6329,20.13
43505.63327,18.72
43505.63429,19
43505.63549,21.74
43505.63549,18.93
43505.63646,20.03
43505.63651,18.85
43505.63679,19.4
43505.63702,18.74
43505.63718,20.31
43505.63771,19.07
43505.63859,20.01
43505.63878,19.05
43505.63898,20.72
43505.6394,19.31
43505.63975,19.75
43505.63991,19.67
43505.64033,19.29
43505.64051,19.75
43505.64072,19.92
43505.64107,21.25
43505.64209,20.08
43505.64215,20.31
43505.64248,20.47
43505.64292,20.21
43505.64336,19.96
43505.64345,19.77
43505.64387,19.46
43505.64408,19.92
43505.64428,19.82
43505.64461,20.71
43505.64563,19.72
43505.64579,19.93
43505.646,19.96
43505.64655,19.82
43505.64692,19.59
43505.64702,19.49
43505.64743,19.24
43505.64769,19.6
43505.6478,19.46
43505.64813,20.16
43505.64917,19.34
43505.64928,19.61
43505.64952,19.5
43505.65014,19.43
43505.65051,19.22
43505.65053,19.25
43505.65095,19.04
43505.65134,19.18
43505.65137,19.32
43505.65167,19.73
43505.65269,19.04
43505.65287,19.31
43505.65303,19.13
43505.65366,19.1
43505.65405,18.96
43505.65412,18.93
43505.65449,18.82
43505.65489,19.02
43505.65489,18.89
43505.65521,19.3
43505.65621,18.75
43505.65641,18.96
43505.65655,18.82
43505.6572,18.8
43505.65759,18.74
43505.65773,18.7
43505.65803,18.63
43505.65843,18.66
43505.65847,18.77
43505.6588,18.97
43505.65972,18.54
43505.65996,18.75
43505.66009,18.61
43505.66079,18.62
43505.66111,18.59
43505.66134,18.55
43505.66155,18.53
43505.66199,19.35
43505.66206,18.63
43505.66232,18.79
43505.66324,18.47
43505.66354,18.62
43505.66359,18.5
43505.66438,18.8
43505.66468,18.5
43505.66491,18.43
43505.66509,18.46
43505.66551,18.97
43505.6657,18.48
43505.66588,18.61
43505.66676,18.37
43505.66711,18.35
43505.66713,18.46
43505.66796,18.54
43505.66817,18.35
43505.66852,18.27
43505.66864,18.32
43505.66905,18.67
43505.66926,18.29
43505.6694,18.38
43505.67028,18.24
43505.67065,18.19
43505.67067,18.29
43505.67151,18.33
43505.67174,18.2
43505.67211,18.13
43505.67218,18.21
43505.67259,18.43
43505.67285,18.14
43505.67294,18.21
43505.67384,18.12
43505.67415,18.07
43505.67421,18.14
43505.67507,18.16
43505.67526,18.09
43505.6757,18
43505.67572,18.08
43505.67614,18.22
43505.67646,18.07
43505.67646,18
43505.67741,17.99
43505.67766,17.94
43505.67776,18
43505.67864,17.99
43505.67877,17.97
43505.67924,17.96
43505.67928,17.9
43505.6797,18.05
43505.68003,17.93
43505.68005,17.86
43505.68086,17.88
43505.68118,17.83
43505.68134,17.87
43505.6822,17.86
43505.68232,17.87
43505.68278,17.86
43505.6829,17.8
43505.68322,17.91
43505.68354,17.82
43505.68366,17.76
43505.68438,17.78
43505.6847,17.75
43505.68486,17.77
43505.68579,17.75
43505.68584,17.78
43505.68634,17.76
43505.68648,17.71
43505.68676,17.79
43505.68709,17.72
43505.68727,17.68
43505.8284,9.38
43505.82887,17.59
43505.82887,17.53
43505.82891,9.46
43505.82891,17.6
43505.83026,17.57
43505.83072,17.57
43505.83072,17.56
43505.83104,16.25
43505.83127,17.56
43505.83185,8.24
43505.83218,17.65
43505.8322,17.58
43505.83231,17.64
43505.83238,8.6
43505.83381,17.61
43505.83414,17.58
43505.83425,17.6
43505.83462,15.77
43505.83476,17.57
43505.83536,7.82
43505.83569,17.65
43505.83573,17.57
43505.8358,17.66
43505.83583,8.25
43505.8374,17.59
43505.83766,17.55
43505.83782,17.58
43505.83823,15.46
43505.8383,17.55
43505.83883,7.62
43505.83925,17.54
43505.8393,17.61
43505.83932,17.63
43505.83934,8.09
43505.84099,17.55
43505.8412,17.49
43505.84134,17.54
43505.84184,17.5
43505.84185,15.22
43505.84235,7.52
43505.84279,17.48
43505.84282,17.57
43505.84284,17.55
43505.84286,7.98
43505.84458,17.49
43505.84471,17.42
43505.8449,17.48
43505.84536,15.04
43505.84539,17.43
43505.84587,7.45
43505.84634,7.9
43505.84634,17.5
43505.84636,17.4
43505.8464,17.49
43505.84816,17.41
43505.84826,17.32
43505.84846,17.4
43505.8489,17.36
43505.84897,14.9
43505.84941,7.35
43505.84985,7.82
43505.84988,17.41
43505.84992,17.32
43505.84997,17.4
43505.85175,17.32
43505.85178,17.23
43505.85203,17.32
43505.85245,17.26
43505.85259,14.8
43505.85293,7.28
43505.85335,7.75
43505.85339,17.21
43505.85342,17.33
43505.85358,17.32
43505.85533,17.11
43505.85536,17.25
43505.85557,17.23
43505.85599,17.18
43505.8562,14.69
43505.85645,7.18
43505.85684,7.66
43505.85691,17.24
43505.85701,17.12
43505.85712,17.22
43505.85884,17.01
43505.85897,17.14
43505.85914,17.14
43505.85951,17.07
43505.85971,14.63
43505.85997,7.11
43505.86036,7.6
43505.86043,17.14
43505.8605,17.03
43505.86069,17.13
43505.86238,16.93
43505.86254,17.05
43505.8627,17.04
43505.86305,16.98
43505.86333,14.56
43505.86349,7.06
43505.86384,7.52
43505.86395,17.04
43505.86409,16.93
43505.86425,17.04
43505.8659,16.83
43505.86613,16.96
43505.86624,16.94
43505.86659,16.89
43505.86694,14.49
43505.86701,7
43505.86735,7.45
43505.86747,16.95
43505.86758,16.84
43505.86782,16.95
43505.86944,16.75
43505.86971,16.86
43505.86981,16.86
43505.87011,16.8
43505.87048,14.43
43505.87052,6.92
43505.87085,7.38
43505.87101,16.85
43505.87117,16.75
43505.8714,16.86
43505.87296,16.66
43505.8733,16.78
43505.87335,16.77
43505.87365,16.72
43505.87404,6.87
43505.87409,14.39
43505.87434,7.32
43505.87451,16.77
43505.87465,16.67
43505.87497,16.78
43505.8765,16.57
43505.87689,16.69
43505.87689,16.69
43505.87719,16.63
43505.87756,6.82
43505.8777,14.35
43505.87786,7.26
43505.87802,16.69
43505.8783,16.59
43505.87853,16.69
